name,email,department,lang
Kani Tifeki (Frigemo),kani.tifeki@frigemo.ch,Test,de
Gianni Tifeki (Gmail),giannitifeki@gmail.com,Test,fr
Kani Tifeki (Hotmail),kani.tifeki@hotmail.com,Test,de
Gianni Tifeki (Hotmail),giannitifeki@hotmail.com,Test,fr
Hans Muster,h.muster@frigemo.ch,Technik / Unterhalt,de
Claire Dubois,c.dubois@frigemo.ch,Production,fr
Marc Werlen,m.werlen@frigemo.ch,Facility Management,de
Sophie Perret,s.perret@frigemo.ch,Qualite / QS,fr
Luca Rossi,l.rossi@frigemo.ch,Logistique,fr
Anna Kaufmann,a.kaufmann@frigemo.ch,Administration,de
Julien Favre,j.favre@frigemo.ch,Production,fr
Nadia Berger,n.berger@frigemo.ch,Ressources humaines,fr
